name,president,start_president,end_president,ministry,start_minister,end_minister,días,edad,debut,sexo,experiencia,exp_executive,exp_congress,exp_ngo,exp_thinktanks,exp_business
"Jiménez de la Jara, Jorge",Patricio Aylwin,1990-03-11,1994-03-11,Salud,1990-03-11,1992-10-30,964,45,1990,0,0,0,0,0,0,0
"Montt Momberg, Julio",Patricio Aylwin,1990-03-11,1994-03-11,Salud,1992-10-30,1994-03-11,497,66,1992,0,3,0,1,1,0,1
"Alvear Valenzuela, Soledad",Patricio Aylwin,1990-03-11,1994-03-11,SERNAM,1991-01-03,1994-03-11,1163,40,1991,1,1,1,0,0,0,0
"Andrade Lara , Carmen",Michelle Bachelet,2006-03-11,2010-03-11,SERNAM,2009-10-20,2010-03-11,142,55,2009,1,0,0,0,0,0,0
"Schmidt Zaldívar, Carolina",Sebastián Piñera,2010-03-11,2014-03-11,SERNAM,2010-03-11,2013-04-22,1138,40,2010,1,1,0,0,0,0,1
"Andrade Lara , Osvaldo",Michelle Bachelet,2006-03-11,2010-03-11,Trabajo y Previsión Social,2006-03-11,2008-12-10,1005,52,2006,0,1,1,0,0,0,0
"Jobet Eluchans, Juan Carlos",Sebastián Piñera,2010-03-11,2014-03-11,Trabajo y Previsión Social,2013-07-24,2014-03-11,230,37,2013,0,3,1,0,1,1,0
"Matthei Fornet, Evelyn",Sebastián Piñera,2010-03-11,2014-03-11,Trabajo y Previsión Social,2011-01-16,2013-07-20,916,57,2011,1,1,0,1,0,0,0
"Errázuriz Domínguez, Pedro Pablo",Sebastián Piñera,2010-03-11,2014-03-11,Transporte y Telecomunicaciones,2011-01-16,2014-03-11,1150,49,2011,0,1,0,0,0,0,1
"Morandé Lavín, Felipe",Sebastián Piñera,2010-03-11,2014-03-11,Transporte y Telecomunicaciones,2010-03-11,2011-01-14,309,54,2010,0,1,0,0,0,0,1
"Orrego Larraín, Claudio",Ricardo Lagos,2000-03-11,2006-03-11,Vivienda y Urbanismo,2000-03-11,2000-12-29,293,34,2000,0,2,0,0,1,1,0
"Pérez Mackenna, Rodrigo",Sebastián Piñera,2010-03-11,2014-03-11,Vivienda y Urbanismo,2011-04-19,2014-03-11,1057,50,2011,0,1,0,0,0,0,1
"Matte Lecaros, Magdalena",Sebastián Piñera,2010-03-11,2014-03-11,Vivienda y Urbanismo,2010-03-11,2011-04-19,404,59,2010,1,0,0,0,0,0,0
"Aninat Ureta, Eduardo",Eduardo Frei,1994-03-11,2000-03-11,Hacienda,1994-03-11,1999-12-03,2093,46,1994,0,2,0,0,1,1,0
"Foxley Rioseco, Alejandro",Patricio Aylwin,1990-03-11,1994-03-11,Hacienda,1990-03-11,1994-03-11,1461,50,1990,0,2,0,0,1,1,0
"Correa Díaz, Germán",Eduardo Frei,1994-03-11,2000-03-11,Interior,1994-03-11,1994-09-20,193,54,1994,0,0,0,0,0,0,0
"Insulza Salinas, José Miguel",Ricardo Lagos,2000-03-11,2006-03-11,Interior,2000-03-11,2005-05-24,1900,56,2000,0,0,0,0,0,0,0
"Krauss Rusque, Enrique",Patricio Aylwin,1990-03-11,1994-03-11,Interior,1990-03-11,1994-03-11,1461,58,1990,0,2,0,1,0,0,1
"Troncoso Castillo, Raúl",Eduardo Frei,1994-03-11,2000-03-11,Interior,1998-08-01,2000-03-11,588,63,1998,0,1,1,0,0,0,0
"Velasco Baraona, Belisario",Michelle Bachelet,2006-03-11,2010-03-11,Interior,2006-07-14,2008-01-04,539,70,2006,0,1,0,0,0,0,1
"Vidal Salinas, Francisco",Ricardo Lagos,2000-03-11,2006-03-11,Interior,2005-05-24,2006-03-11,291,51,2005,0,1,0,0,1,0,0
"Arrate Mac Niven, Jorge",Eduardo Frei,1994-03-11,2000-03-11,SEGEGOB,1998-08-01,1999-06-22,325,57,1998,0,3,1,0,1,1,0
"Brunner Ried, José Joaquín",Eduardo Frei,1994-03-11,2000-03-11,SEGEGOB,1994-09-20,1998-08-01,1411,49,1994,0,2,0,0,1,1,0
"Correa Rios, Enrique",Patricio Aylwin,1990-03-11,1994-03-11,SEGEGOB,1990-03-11,1994-03-11,1461,44,1990,0,0,0,0,0,0,0
