id,elección,elección_tipo,región,region2,distrito2,distrito,número_papeleta,electo,coord1D_all,coord2D_all,coord1D_normal_all,coord2D_normal_all,nombre_completo,sexo,edad,profesión,lista,lista_box,partido,militante,directivo,agua,cebra,n_votos,p_votos,magnitud_distrital,votos_servel,porcentaje_servel,votos_servel_ld,p_votos_ld,kast_1v2021,boric_1v2021,borickast_1v2021,jadue_pr2021,electo_noparidad,electo_paridad,paridad_servel,min_patrocinios_indlistas,min_patrocinios_ifp,n_aportes,dinero_aportes,tope_distrito,miembro_voceriadelpueblo,coord1D_mil,coord2D_mil,coord1D_normal_mil,coord2D_normal_mil,coord1D_tresmil,coord2D_tresmil,coord1D_normal_tresmil,coord2D_normal_tresmil
161,Convencionales Constituyentes,1,Coquimbo,4,#D5 - La Serena,5,WD9,1,-0.791178048,0.15984638,1.044109762,5.799231902,Daniel Alejandro Bravo Silva,0,38,Abogado,Lista Del Pueblo - Movimiento Territorial Constituyente (D5),Lista del Pueblo,IND,0,0,0,1,11061,4.91,6,11061,4.91,58516,18.90252239,21.63,25.88,47.51,24.79042156,1,1,0,1285,504,39,4018500,279095192,1,-0.837045729,0.337939531,0.814771354,6.689697653,-0.73741293,0.027187413,1.312935352,5.135937063
435,Convencionales Constituyentes,1,Metropolitana,5.5,#D9 - Recoleta,9,YQ34,1,-0.632941008,0.350881815,1.835294962,6.754409075,Barbara Sepulveda Hales,1,35,Abogada,Apruebo Dignidad,Apruebo Dignidad - PC,PC,1,1,0,0,24900,7.85,6,24900,7.85,63529,39.19469848,20.74,32.87,53.61,33.33283468,1,1,0,1889,756,39,16521188,381772286,0,-0.856038451,0.232090279,0.719807744,6.160451397,-0.529132247,-0.005515959,2.354338765,4.972420207
955,Convencionales Constituyentes,1,Bío-Bío,8,#D20 - Concepción,20,YB26,1,-0.250596017,-0.736112654,3.747019917,1.319436729,Andres Cruz Carrasco,0,47,Abogado,Lista Del Apruebo,Lista del Apruebo,PS-IND,0,0,0,0,10937,3.58,7,10937,3.58,43223,25.30365777,29.1,21.93,51.03,18.08837527,1,1,0,1888,755,40,12140000,358593039,0,-0.132717013,-0.991153955,4.336414933,0.044230223,-0.244052902,-0.125068113,3.779735491,4.374659434
1252,Convencionales Constituyentes,1,Magallanes,12,#D28 - Punta Arenas,28,XP9,1,0.732863665,0.523830175,8.664318323,7.619150877,Rodrigo Alvarez Zenteno,0,54,Abogado,Vamos Por Chile,Vamos por Chile,UDI,1,1,0,0,4197,7.71,3,4197,7.71,9948,42.1893848,27.93,30.6,58.53,15.40932125,1,1,0,500,300,41,65998354,88406637,0,0.685614347,0.503950715,8.428071737,7.519753575,0.756406307,-0.163381651,8.782031536,4.183091745
1074,Convencionales Constituyentes,1,Araucanía,9,#D23 - Temuco,23,XP15,1,0.487699538,-0.028530253,7.438497692,4.857348735,Luis Mayol Bouchon,0,68,Abogado,Vamos Por Chile,Vamos por Chile,RN,1,0,1,0,15442,9.52,6,15442,9.52,36233,42.61860735,39.28,18.04,57.32,15.30792815,1,1,0,1262,505,42,77950000,272684360,0,0.530378401,0.093958475,7.651892006,5.469792373,0.481422007,0.574625611,7.407110035,7.873128057
480,Convencionales Constituyentes,1,Metropolitana,5.5,#D10 - Santiago,10,YB23,1,-0.501598001,-0.865100801,2.492009997,0.674495995,Jorge Baradit Morales,0,51,Escritor,Lista Del Apruebo,Lista del Apruebo,PS-IND,0,0,0,0,21881,5.15,7,21881,5.15,56974,38.40523748,24.65,36.64,61.29,23.66695307,1,1,0,2345,938,44,12839021,443603850,0,-0.453763843,-0.796931088,2.731180787,1.01534456,-0.438155532,-0.834598064,2.809222341,0.827009678
549,Convencionales Constituyentes,1,Metropolitana,5.5,#D11 - Las Condes,11,XP14,1,0.829626203,0.558319271,9.148131013,7.791596353,Marcela Cubillos Sigall,1,54,Abogada,Vamos Por Chile,Vamos por Chile,UDI-IND,0,0,0,0,84040,21.85,6,84040,21.85,168135,49.9836441,39.79,17.74,57.53,8.305259818,1,1,0,2036,815,46,133887596,328387587,0,0.71562326,0.66266638,8.578116298,8.313331902,0.910707831,-0.232398033,9.553539157,3.838009834
359,Convencionales Constituyentes,1,Metropolitana,5.5,#D8 - Maipú,8,XP17,1,0.111594863,0.191819295,5.557974316,5.959096476,Bernardo De La Maza Bañados,0,75,Periodista,Vamos Por Chile,Vamos por Chile,EVO-IND,0,0,0,,28327,6.29,7,28327,6.26,70273,40.30993411,22.49,32.64,55.13,27.06927032,1,1,0,2414,966,48,77220000,468847550,0,0.151030526,0.182249978,5.755152628,5.911249891,0.115533262,0.55969125,5.577666312,7.798456252
901,Convencionales Constituyentes,1,Ñuble,7.5,#D19 - Chillán,19,XP12,1,0.841464162,0.540312946,9.207320809,7.701564729,Martin Arrau Garcia-Huidobro,0,42,Ingeniero Civil,Vamos Por Chile,Vamos por Chile,UDI,1,0,1,0,22137,14.12,5,22137,14.12,39056,56.68015158,36.62,16.6,53.22,13.63307494,1,1,0,1082,433,50,60169000,220829699,0,0.894914746,0.446237296,9.474573731,7.231186479,0.836321354,-0.548239648,9.18160677,2.258801758
473,Convencionales Constituyentes,1,Metropolitana,5.5,#D10 - Santiago,10,XP16,1,0.896128714,0.44379431,9.48064357,7.21897155,Teresa Marinovic Vial,1,48,Licenciada en Filosofía,Vamos Por Chile,Vamos por Chile,RN-IND,0,0,0,0,39753,9.53,7,39753,9.35,91960,43.22857764,24.65,36.64,61.29,23.66695307,1,1,0,2345,938,53,56498577,443603850,0,0.906505942,0.422192991,9.532529712,7.110964954,0.91861093,-0.395163089,9.593054652,3.024184555
