date,eleccion,delta,encuesta,encuestados,metodo,tipo,prob,precision_kast,Kast,precision_boric,Boric,precision sichel,Sichel,precision parisi,Parisi,precision_provoste,Provoste,precision_enriquez,Enriquez,precision_artes,Artes,precision_promedio,nsnr,pregunta
2021-09-06,2021-11-17,72,Data Influye,1619,online,closed,0,17.10,10.90,0.50,26.50,4.80,17.80,7.50,5.50,0.70,11.30,5.40,2.60,0.50,1.50,5.21,13.90,"Pensando en la elección presidencial, si esta elección fuese el próximo domingo, ¿por quién votaría Ud., para presidente/a de Chile? (lista cerrada)"
2021-09-03,2021-11-17,75,Cadem,702,online,closed,0,16.00,12.00,3.00,23.00,6.00,19.00,6.00,7.00,0.00,12.00,6.00,2.00,1.00,,5.43,25.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-09-01,2021-11-17,77,CEP,1443,cara a cara,open,0,25.00,3.00,13.00,13.00,2.00,11.00,11.00,2.00,6.00,6.00,8.00,,1.00,,9.43,50.00,¿Quién le gustaría a Ud. que fuera la o el próximo presidente de Chile? Pregunta abierta
2021-08-31,2021-11-17,78,Criteria Research,1551,online,open,0,20.00,8.00,1.00,25.00,6.00,19.00,7.00,6.00,0.00,12.00,7.00,1.00,0.00,1.00,5.86,14.00,"Pensando en el futuro, ¿quién te gustaría que fuera el próximo presidente o presidenta de Chile después de Sebastián Piñera? (ÚNICA MENCIÓN EN PREGUNTA ABIERTA)"
2021-08-27,2021-11-17,82,Activa Research,1559,online,closed,0,16.70,11.30,9.60,16.40,1.50,11.50,6.90,6.10,0.70,11.30,4.40,3.60,0.30,0.70,5.73,24.60,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-08-27,2021-11-17,82,Activa Research,967,online,closed,1,15.70,12.30,2.60,23.40,1.00,14.00,4.20,8.80,0.30,12.30,4.40,3.60,0.20,1.20,4.06,20.40,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-08-27,2021-11-17,82,Cadem,704,online,closed,0,18.00,10.00,6.00,20.00,7.00,20.00,6.00,7.00,1.00,13.00,5.00,3.00,0.00,1.00,6.14,26.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-08-13,2021-11-17,96,Activa Research,1410,online,closed,0,17.80,10.20,11.30,14.70,7.40,20.40,8.40,4.60,4.90,7.10,5.90,2.10,0.60,0.40,8.04,22.20,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-08-13,2021-11-17,96,Activa Research,890,online,closed,1,16.70,11.30,9.90,16.10,12.60,25.60,5.90,7.10,3.00,9.00,6.50,1.50,0.40,0.60,7.86,20.40,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-08-13,2021-11-17,96,Cadem,703,online,closed,0,19.00,9.00,2.00,24.00,9.00,22.00,13.00,,3.00,9.00,8.00,,1.00,,7.86,29.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
