country,year,general_consumption_price,domestic_absorption_price,household_consumption_price,output-side_gdp_price,exchange_rate
Ecuador,1959,0.070587255,0.058124892,0.078798965,0.058941837,1.00000000000000000000000000
Ecuador,1960,0.071067095,0.058981895,0.080229551,0.060080096,1.00000000000000000000000000
Ecuador,1961,0.070709474,0.060164213,0.080001622,0.06113296,1.00000000000000000000000000
Ecuador,1962,0.071126118,0.061761808,0.080068119,0.062952973,1.00000000000000000000000000
Ecuador,1963,0.076533444,0.066046491,0.085961394,0.066959903,1.00000000000000000000000000
Ecuador,1964,0.079108402,0.068440065,0.089419492,0.069072701,1.00000000000000000000000000
Ecuador,1965,0.082058989,0.071139663,0.093624786,0.071584992,1.00000000000000000000000000
Ecuador,1966,0.085061565,0.074954025,0.097232662,0.075451136,1.00000000000000000000000000
Ecuador,1967,0.088254191,0.077606328,0.101083554,0.078061558,1.00000000000000000000000000
Ecuador,1968,0.090096064,0.080072246,0.104010947,0.080563687,1.00000000000000000000000000
Ecuador,1969,0.095004894,0.085960679,0.110054418,0.086116485,1.00000000000000000000000000
Ecuador,1970,0.100971818,0.09219791,0.117861919,0.092754483,1.00000000000000000000000000
Ecuador,1971,0.093200102,0.084262088,0.109925002,0.083580822,1.00000000000000000000000000
Ecuador,1972,0.104429133,0.096563794,0.12299633,0.095644027,1.00000000000000000000000000
Ecuador,1973,0.117453784,0.10912995,0.137879461,0.10472174,1.00000000000000000000000000
Ecuador,1974,0.14020659,0.147917107,0.165986791,0.145313352,1.00000000000000000000000000
Ecuador,1975,0.171711251,0.159547418,0.191339239,0.155150354,1.00000000000000000000000000
Ecuador,1976,0.182688162,0.173420176,0.206078768,0.170640305,1.00000000000000000000000000
Ecuador,1977,0.203121766,0.199787974,0.223073348,0.200327799,1.00000000000000000000000000
Ecuador,1978,0.211279735,0.209633797,0.240164727,0.204925448,1.00000000000000000000000000
Ecuador,1979,0.239420578,0.233738586,0.269452006,0.233034298,1.00000000000000000000000000
Ecuador,1980,0.273763716,0.278743744,0.304232359,0.280109048,1.00000000000000000000000000
Ecuador,1981,0.319247454,0.331252724,0.366177261,0.331352264,1.00000000000000000000000000
Ecuador,1982,0.314588875,0.307670951,0.359824896,0.306753337,1.00000000000000000000000000
Ecuador,1983,0.271771401,0.273144573,0.326351076,0.27195099,1.00000000000000000000000000
Ecuador,1984,0.271133393,0.267088622,0.322070181,0.267491043,1.00000000000000000000000000
Ecuador,1985,0.263619065,0.25833562,0.316920549,0.262433082,1.00000000000000000000000000
Ecuador,1986,0.239835605,0.243297577,0.288158268,0.244224831,1.00000000000000000000000000
Ecuador,1987,0.222493783,0.226275206,0.266813785,0.225446045,1.00000000000000000000000000
Ecuador,1988,0.207114518,0.217367113,0.245472372,0.2198807,1.00000000000000000000000000
Ecuador,1989,0.213102505,0.228036419,0.27098164,0.230782002,1.00000000000000000000000000
Ecuador,1990,0.221487582,0.235473141,0.273379952,0.24033846,1.00000000000000000000000000
Ecuador,1991,0.245306984,0.254995912,0.30769977,0.25978294,1.00000000000000000000000000
Ecuador,1992,0.255387008,0.26608023,0.328245997,0.26536268,1.00000000000000000000000000
Ecuador,1993,0.29376471,0.300207585,0.379072964,0.302221328,1.00000000000000000000000000
Ecuador,1994,0.345419198,0.352308124,0.439604521,0.353603005,1.00000000000000000000000000
Ecuador,1995,0.372734934,0.378791481,0.466793388,0.378776401,1.00000000000000000000000000
Ecuador,1996,0.381837487,0.388953835,0.466679871,0.391839534,1.00000000000000000000000000
Ecuador,1997,0.404217929,0.412942171,0.479638398,0.414685875,1.00000000000000000000000000
Ecuador,1998,0.393489331,0.407514274,0.446987122,0.401682943,1.00000000000000000000000000
Ecuador,1999,0.278754056,0.293243945,0.308698952,0.297233641,1.00000000000000000000000000
Ecuador,2000,0.243421778,0.256738931,0.273838878,0.260847002,1.00000000000000000000000000
Ecuador,2001,0.335521489,0.331224561,0.366475552,0.325807184,1.00000000000000000000000000
Ecuador,2002,0.362800092,0.350501865,0.384358644,0.343779504,1.00000000000000000000000000
Ecuador,2003,0.387277544,0.371969253,0.399240434,0.369472295,1.00000000000000000000000000
Ecuador,2004,0.392086685,0.379443496,0.396382064,0.374280035,1.00000000000000000000000000
Ecuador,2005,0.392140031,0.378704101,0.390698314,0.373975903,1.00000000000000000000000000
Ecuador,2006,0.406088501,0.39631182,0.403306574,0.392473876,1.00000000000000000000000000
Ecuador,2007,0.414097011,0.408205271,0.409985989,0.404737979,1.00000000000000000000000000
Ecuador,2008,0.446460485,0.44468081,0.43620339,0.442452818,1.00000000000000000000000000
Ecuador,2009,0.459507048,0.461166888,0.447253048,0.457127512,1.00000000000000000000000000
Ecuador,2010,0.47092703,0.481549442,0.46139124,0.471091062,1.00000000000000000000000000
Ecuador,2011,0.482243299,0.49269557,0.477386504,0.483831584,1.00000000000000000000000000
Ecuador,2012,0.504802883,0.51233238,0.48791942,0.50696981,1.00000000000000000000000000
Ecuador,2013,0.518646538,0.522494078,0.503728092,0.508500934,1.00000000000000000000000000
Ecuador,2014,0.534835577,0.534697115,0.521979749,0.530183554,1.00000000000000000000000000
Ecuador,2015,0.548353016,0.543449938,0.542891204,0.539957762,1.00000000000000000000000000
Ecuador,2016,0.55575335,0.551637471,0.552887857,0.551840663,1.00000000000000000000000000
Ecuador,2017,0.553363502,0.544120967,0.556295574,0.544419348,1.00000000000000000000000000
Ecuador,2018,0.556449473,0.552413166,0.560316026,0.548829317,1.00000000000000000000000000
Ecuador,2019,0.556005597,0.552288413,0.559093177,0.552969873,1.00000000000000000000000000
Panama,1950,0.143438399,0.141805321,0.153161764,0.159529179,1.00000000000000000000000000
Panama,1951,0.152737215,0.151250541,0.166373566,0.172061041,1.00000000000000000000000000
Panama,1952,0.144698426,0.143915981,0.156637833,0.163616911,1.00000000000000000000000000
Panama,1953,0.145103201,0.14392142,0.156600252,0.157898828,1.00000000000000000000000000
Panama,1954,0.142559096,0.141096577,0.152390242,0.155849636,1.00000000000000000000000000
Panama,1955,0.142494708,0.141471907,0.146665171,0.15699935,1.00000000000000000000000000
Panama,1956,0.146466181,0.145057753,0.149936408,0.158721656,1.00000000000000000000000000
Panama,1957,0.14717339,0.14584063,0.149640813,0.158340126,1.00000000000000000000000000
Panama,1958,0.14461638,0.143611372,0.146300867,0.153041542,1.00000000000000000000000000
Panama,1959,0.148105145,0.146152183,0.149866417,0.152597815,1.00000000000000000000000000
Panama,1960,0.14140521,0.141642883,0.144657359,0.152630478,1.00000000000000000000000000
Panama,1961,0.138528004,0.140731603,0.141678572,0.150907665,1.00000000000000000000000000
Panama,1962,0.137434557,0.140254259,0.140951797,0.146546707,1.00000000000000000000000000
Panama,1963,0.141838118,0.14353089,0.144179627,0.150677279,1.00000000000000000000000000
Panama,1964,0.145440578,0.146771669,0.14960441,0.154050902,1.00000000000000000000000000
Panama,1965,0.14547655,0.146906465,0.14902623,0.154143438,1.00000000000000000000000000
Panama,1966,0.146795005,0.148952737,0.150022045,0.154868841,1.00000000000000000000000000
Panama,1967,0.147957221,0.150570571,0.150307164,0.155904576,1.00000000000000000000000000
Panama,1968,0.147962019,0.151059985,0.151032254,0.155466288,1.00000000000000000000000000
Panama,1969,0.148765787,0.15202783,0.150232732,0.155989349,1.00000000000000000000000000
Panama,1970,0.137378395,0.140348971,0.146522954,0.140294671,1.00000000000000000000000000
Panama,1971,0.139254123,0.141760275,0.148885608,0.141888469,0.99999999900000000000000000
Panama,1972,0.145915017,0.146763027,0.157388031,0.146223292,1.00000000000000000000000000
Panama,1973,0.15754962,0.161629245,0.16983813,0.161376297,1.00000000000000000000000000
Panama,1974,0.178241402,0.184009179,0.190379664,0.18168807,0.99999999950000000000000000
Panama,1975,0.202179715,0.203144059,0.222447902,0.198123276,0.99999999900000000000000000
Panama,1976,0.209337354,0.214617044,0.229064465,0.208763778,0.99999999900000000000000000
Panama,1977,0.222019196,0.229950696,0.244497836,0.223017856,0.99999999900000000000000000
Panama,1978,0.235430211,0.245144203,0.253646165,0.245122761,0.99999999900000000000000000
Panama,1979,0.266602725,0.277095556,0.285022825,0.273179591,0.99999999900000000000000000
Panama,1980,0.30068934,0.309234738,0.321938515,0.321147382,0.99999999900000000000000000
Panama,1981,0.318680912,0.326245695,0.353951573,0.334698975,0.99999999900000000000000000
Panama,1982,0.32857734,0.337955952,0.370600432,0.350035459,0.99999999900000000000000000
Panama,1983,0.333549768,0.343810827,0.363096267,0.343350232,0.99999999900000000000000000
Panama,1984,0.365470856,0.365851492,0.403897673,0.365933865,0.99999999958333300000000000
Panama,1985,0.373053253,0.378436923,0.417861521,0.393570691,1.00000000000000000000000000
Panama,1986,0.368612021,0.371053278,0.41676265,0.365833402,1.00000000000000000000000000
Panama,1987,0.354274094,0.361705869,0.401127577,0.348069042,1.00000000000000000000000000
Panama,1988,0.356012344,0.357498497,0.403875828,0.347713888,1.00000000000000000000000000
Panama,1989,0.353992462,0.357798219,0.392845243,0.344574273,1.00000000000000000000000000
Panama,1990,0.371146441,0.371176302,0.4154194,0.346229553,1.00000000000000000000000000
Panama,1991,0.358330786,0.367525756,0.398232818,0.337991387,1.00000000000000000000000000
Panama,1992,0.372161955,0.381969959,0.404294819,0.362648278,1.00000000000000000000000000
Panama,1993,0.386765271,0.39405185,0.423135161,0.381776929,1.00000000000000000000000000
Panama,1994,0.403754085,0.412048221,0.445437759,0.394650072,1.00000000000000000000000000
Panama,1995,0.410616666,0.425983965,0.460342497,0.406020135,1.00000000000000000000000000
Panama,1996,0.40233472,0.419540703,0.441790223,0.396371216,1.00000000000000000000000000
Panama,1997,0.393002659,0.409137815,0.427673906,0.387491792,1.00000000000000000000000000
Panama,1998,0.391728193,0.409059167,0.418136925,0.3854146,1.00000000000000000000000000
Panama,1999,0.404888093,0.411372781,0.430152059,0.389309913,1.00000000000000000000000000
Panama,2000,0.391899914,0.400460005,0.413070112,0.375510097,1.00000000000000000000000000
Panama,2001,0.388314158,0.390680641,0.409889191,0.374470115,1.00000000000000000000000000
Panama,2002,0.387306482,0.38492775,0.406780094,0.367650002,1.00000000000000000000000000
Panama,2003,0.359260738,0.364732593,0.372476518,0.343757123,1.00000000000000000000000000
Panama,2004,0.38005662,0.378183812,0.395315528,0.369603574,1.00000000000000000000000000
Panama,2005,0.358609647,0.360872537,0.36885643,0.32926023,1.00000000000000000000000000
Panama,2006,0.366028458,0.368053287,0.376413792,0.33238855,1.00000000000000000000000000
Panama,2007,0.42181614,0.471440583,0.429850399,0.433703363,1.00000000000000000000000000
Panama,2008,0.442758471,0.500922978,0.45046255,0.471886009,1.00000000000000000000000000
Panama,2009,0.451952755,0.496232957,0.456589848,0.484908611,1.00000000000000000000000000
Panama,2010,0.459780246,0.503005564,0.459702373,0.484876662,1.00000000000000000000000000
Panama,2011,0.479266852,0.520547628,0.480215043,0.50522095,1.00000000000000000000000000
Panama,2012,0.494074196,0.543374896,0.490482777,0.518633246,1.00000000000000000000000000
Panama,2013,0.508520842,0.559790492,0.50934279,0.539069414,1.00000000000000000000000000
Panama,2014,0.506424487,0.55927223,0.515212417,0.537237465,1.00000000000000000000000000
Panama,2015,0.494931608,0.541976154,0.504505277,0.548317492,1.00000000000000000000000000
Panama,2016,0.485222548,0.529582262,0.498912692,0.537117302,1.00000000000000000000000000
Panama,2017,0.482889146,0.521569312,0.501078248,0.514148712,1.00000000000000000000000000
Panama,2018,0.489313781,0.529861271,0.512198448,0.519841075,1.00000000000000000000000000
Panama,2019,0.489433497,0.534380376,0.512313902,0.525821924,1.00000000000000000000000000
Peru,1950,0.054152872,0.056652393,0.054881927,0.056919165,0.00000001479999979076940000
Peru,1951,0.060954768,0.062593304,0.061795428,0.063872531,0.00000001519999892094100000
Peru,1952,0.062015075,0.065821849,0.062927976,0.064580314,0.00000001549999893470340000
Peru,1953,0.051255226,0.055346139,0.052063148,0.053391974,0.00000001979999913196530000
Peru,1954,0.057513949,0.060081672,0.058685504,0.059119083,0.00000001889999909067790000
Peru,1955,0.060103271,0.063554145,0.061263222,0.061917864,0.00000001889999909067790000
Peru,1956,0.064512253,0.068843514,0.064649634,0.067124568,0.00000001889999909067790000
Peru,1957,0.065468825,0.073569499,0.065529525,0.07110256,0.00000001909999909985290000
Peru,1958,0.059113894,0.064571083,0.059391588,0.061162472,0.00000002399999932463970000
Peru,1959,0.058826465,0.062796548,0.058651518,0.060565408,0.00000002779999949896410000
Peru,1960,0.064695954,0.069988243,0.064831786,0.069204777,0.00000002729999947602670000
Peru,1961,0.068506606,0.074477926,0.068137042,0.072821736,0.00000002679999945308930000
Peru,1962,0.071005419,0.07797543,0.069928296,0.075927168,0.00000002679999945308930000
Peru,1963,0.074732438,0.080817118,0.073449671,0.078638881,0.00000002679999945308930000
Peru,1964,0.08226002,0.088238426,0.080115251,0.088211589,0.00000002679999945308930000
Peru,1965,0.094782136,0.100293025,0.093821794,0.098545209,0.00000002679999945308930000
Peru,1966,0.105778426,0.111165725,0.103685543,0.109815933,0.00000002679999945308930000
Peru,1967,0.102176912,0.107746817,0.101189785,0.106251717,0.00000003019999783270700000
